model,dimension,level_num,case,snrs,obs_level,chan_levels,off_levels,granularity_level,enhanced_acc,original_acc,delta_acc,original_failed_0p5,enhanced_failed_0p5
Tr-AMR,gra,2,bd_gra_l2,"6,8,10",1,1,1,2.0,0.8538878842676311,0.8444846292947559,0.009403254972875197,False,False
Tr-AMR,gra,3,bd_gra_l3,"6,8,10",1,1,1,3.0,0.7580360775803607,0.7551878475518785,0.0028482300284822237,False,False
Tr-AMR,gra,4,bd_gra_l4,"0,2,4",2,2,2,4.0,0.5604383680555556,0.5569661458333334,0.00347222222222221,False,False
Tr-AMR,gra,5,bd_gra_l5,"-6,-4,-2",3,3,3,5.0,0.4288426763110307,0.4253164556962025,0.003526220614828157,True,True
Tr-AMR,obs,0,bd_obs_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9939778645833334,0.9938151041666666,0.00016276041666674068,False,False
Tr-AMR,obs,1,bd_obs_l1,"12,14,16,18,20,22,24,26,28,30",1,0,0,0.0,0.9934895833333334,0.9925130208333334,0.0009765625,False,False
Tr-AMR,obs,2,bd_obs_l2,"6,8,10",2,1,1,1.0,0.8386221860591266,0.8144833197721725,0.024138866286954164,False,False
Tr-AMR,obs,3,bd_obs_l3,"6,8,10",3,1,1,1.0,0.7664768104149715,0.7287767832926498,0.03770002712232168,False,False
Tr-AMR,obs,4,bd_obs_l4,"0,2,4",4,2,2,2.0,0.4904159132007233,0.4851717902350814,0.0052441229656419175,True,True
Tr-AMR,obs,5,bd_obs_l5,"-6,-4,-2",5,3,3,3.0,0.2308422623084226,0.2247389122473891,0.006103350061033519,True,True
Tr-AMR,off,0,bd_off_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9939778645833334,0.9938151041666666,0.00016276041666674068,False,False
Tr-AMR,off,1,bd_off_l1,"12,14,16,18,20,22,24,26,28,30",0,0,1,0.0,0.9884440104166666,0.98779296875,0.0006510416666666297,False,False
Tr-AMR,off,2,bd_off_l2,"6,8,10",1,1,2,1.0,0.9245999457553566,0.9218877135882833,0.0027122321670733918,False,False
Tr-AMR,off,3,bd_off_l3,"6,8,10",1,1,3,1.0,0.8586927040954706,0.8570653647952264,0.0016273393002441683,False,False
Tr-AMR,off,4,bd_off_l4,"0,2,4",2,2,4,2.0,0.61374321880651,0.5972875226039783,0.016455696202531622,False,False
Tr-AMR,off,5,bd_off_l5,"-6,-4,-2",3,3,5,3.0,0.246846602468466,0.2444052624440526,0.0024413400244133743,True,True
Tr-AMR,snr,0,bd_snr_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9939778645833334,0.9938151041666666,0.00016276041666674068,False,False
Tr-AMR,snr,1,bd_snr_l1,"6,8,10",0,0,0,0.0,0.9484815618221258,0.905639913232104,0.04284164859002182,False,False
Tr-AMR,snr,2,bd_snr_l2,"0,2,4",1,1,1,1.0,0.8982912937347437,0.8947653919175481,0.003525901817195587,False,False
Tr-AMR,snr,3,bd_snr_l3,"-6,-4,-2",1,1,1,1.0,0.8898833740168158,0.881475454298888,0.00840791971792787,False,False
Tr-AMR,snr,4,bd_snr_l4,"-12,-10,-8",2,2,2,2.0,0.6705244122965642,0.6596745027124774,0.010849909584086825,False,False
Tr-AMR,snr,5,bd_snr_l5,"-20,-18,-16,-14",3,3,3,3.0,0.2608076492727088,0.2537890346861967,0.007018614586512095,True,True
